OGC_FID,OSM_ID,OSM_WAY_ID,NAME,TYPE,AEROWAY,AMENITY,ADMIN_LEVE,BARRIER,BOUNDARY,BUILDING,CRAFT,GEOLOGICAL,HISTORIC,LAND_AREA,LANDUSE,LEISURE,MAN_MADE,MILITARY,NATURAL,OFFICE,PLACE,SHOP,SPORT,TOURISM,OTHER_TAGS
1,2904892,,,multipolygon,,,,,,yes,,,,,,,,,,,,,,,
2,3088060,,,multipolygon,,,,,,school,,,,,,,,,,,,,,,
3,3236929,,,multipolygon,,,,,,,,,,,,,,,,,,,,,
4,,52768161,St. Mary's School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""higher_secondary"", ""operator:type""=>""community"", ""student:count""=>""2039"", ""building_count""=>""5"", ""personnel:count""=>""80"""
5,,53017598,The British School,,,school,,,,,,,,,,,,,,,,,,,
6,,84035026,St. Xavier's College,,,college,,,,,,,,,,,,,,,,,,,"""isced:level""=>""college"", ""operator:type""=>""private"", ""student:count""=>""2800"", ""building_count""=>""5"", ""personnel:count""=>""200"""
7,,84035028,TU Controller of Examinations,,,university,,wall,,,,,,,,,,,,,,,,,"""name:ne""=>""Pariksha niyantran karyalaya"", ""website""=>""www.tuexam.edu.np"", ""operator""=>""Tribhuwan University"""
8,,112654802,TeenDhara Pathshala,,,school,,,,yes,,,,,,,,,,,,,,,"""levels""=>""2"", ""name:ne""=>""तीनधारा पाठशाला"", ""old_name""=>""TeenDhara Pathshala"", ""operator""=>""Nepal Sanskrit University"", ""roof:shape""=>""gabled"", ""roof:colour""=>""red"""
9,,120510898,Manipal College of Medical Sciences,,,college,,,,yes,,,,,,,,,,,,,,,
10,,120510899,,,,college,,,,yes,,,,,,,,,,,,,,,
11,,120511075,Mount Annapurna Campus,,,college,,,,yes,,,,,,,,,,,,,,,
12,,120634190,St. Marys High School,,,school,,,,yes,,,,,,,,,,,,,,,
13,,120634571,SOS Children's Village,,,school,,,,,,,,,,,,,,,,,,,
14,,120634612,,,,school,,,,,,,,,,,,,,,,,,,
15,,120634629,SOS Hermann Gmeiner Higher Secondary School,,,school,,,,,,,,,,,,,,,,,,,
16,,120634903,Institute of Forestry,,,university,,,,,,,,,,,,,,,,,,,"""contact:email""=>""info@iof.edu.np"", ""contact:phone""=>""+97761430469"", ""contact:website""=>""http://www.iof.edu.np"""
17,,120725677,Little Step International Academy,,,college,,,,yes,,,,,,,,,,,,,,,"""contact:email""=>""lsiacademy@wlink.com.np"", ""contact:phone""=>""+97761525013"""
18,,120726355,Motherland Higher Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""contact:email""=>""info@motherland.edu.np"", ""contact:phone""=>""+97761463256"", ""contact:website""=>""http://motherland.edu.np"""
19,,120726472,Shining Star Secondary Boarding School,,,school,,,,yes,,,,,,,,,,,,,,,
20,,120726795,Shree Tal Barahi Higher Secondary School,,,school,,,,,,,,,,,,,,,,,,,
21,,120727537,Ekata Community School,,,school,,,,,,,,,,,,,,,,,,,
22,,120727810,Nilgiri Boarding School,,,school,,,,,,,,,,,,,,,,,,,
23,,120727811,Kumudini Homes,,,school,,,,,,,,,,,,,,,,,,,
24,,120728061,Balmandir School,,,school,,,,,,,,,,,,,,,,,,,
25,,120728618,Prithivi Narayan Campus,,,university,,,,,,,,,,,,,,,,,,,
26,,120748079,Gorkha English Boarding School,,,school,,,,,,,,,,,,,,,,,,,
27,,120748081,Tarapunja school,,,school,,,,yes,,,,,,,,,,,,,,,
28,,120748085,Manipal college of medical sciences,,,college,,,,,,,,,,,,,,,,,,,
29,,120748086,Kantipur English Secondary Boarding School,,,school,,,,,,,,,,,,,,,,,,,
30,,120749459,Motherland School,,,school,,,,,,,,,,,,,,,,,,,
31,,120749462,Barahi Madhyamik Vidhyalaya,,,school,,,,,,,,,,,,,,,,,,,
32,,120780607,Indra Rajya Laxmi Secondary School,,,school,,,,,,,,,,,,,,,,,,,
33,,124300987,Olympia World College / Milton International College,,,college,,,,,,,,,,,,,,,,,,,"""phone""=>""01-4220449(Olympia), 01-4785658(Milton)"", ""isced:level""=>""college"", ""operator:type""=>""private"", ""student:count""=>""95"", ""building_count""=>""1"", ""personnel:count""=>""28"""
34,,124480163,Campion College,,,college,,,,,,,,,,,,,,,,,,,"""name:ne""=>""क्याम्पियन कलेज"", ""isced:level""=>""college"", ""operator:type""=>""private"", ""student:count""=>""500"", ""building_count""=>""2"", ""personnel:count""=>""45"""
35,,125637523,Classic College International,,,college,,,,,,,,,,,,,,,,,,,"""name:ne""=>""क्लासिक कलेज"", ""isced:level""=>""college"", ""operator:type""=>""private"", ""student:count""=>""850"", ""building_count""=>""1"", ""personnel:count""=>""108"""
36,,126174335,GEMS,,,school,,,,,,,,,,,,,,,,,,,
37,,126322078,Lincoln School,,,school,,,,,,,,,,,,,,,,,,,
38,,134726860,St. Xavier's School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""1660"", ""building_count""=>""7"", ""personnel:count""=>""145"""
39,,135739030,Adarsha Lower Secondary School,,,school,,,,school,,,,,,,,,,,,,,,"""oid""=>""1"", ""phone""=>""01-417757"", ""retrofit""=>""no"", ""roof:shape""=>""gabled"", ""shape:plan""=>""multiprojected"", ""start_date""=>""before_1960"", ""isced:level""=>""lower_secondary"", ""occupant:day""=>""101"", ""operator:type""=>""government"", ""roof:material""=>""roof_tiles"""
40,,135766302,Kent Public School,,,school,,,,,,,,,,,,,,,,,,,
41,,135766304,Shree Baluwa Secondary School,,,school,,,,,,,,,,,,,,,,,,,
42,,135766305,Shree Janakalyan Lower Secondary School,,,school,,,,,,,,,,,,,,,,,,,
43,,135956140,Shree Janasewa Primary School,,,school,,,,,,,,,,,,,,,,,,,
44,,136485908,Public Youth Campus,,,college,,wall,,,,,,,,,,,,,,,,,"""isced:level""=>""college"", ""operator:type""=>""government"", ""student:count""=>""1800"", ""building_count""=>""3"", ""personnel:count""=>""145"""
45,,136487938,Acme Engineering College,,,college,,,,,,,,,,,,,,,,,,,
46,,136508397,Shree Yadav Secondary School,,,school,,,,,,,,,,,,,,,,,,,
47,,136513050,Madhayamik High School,,,school,,,,,,,,,,,,,,,,,,,
48,,136513052,Primary School,,,school,,,,,,,,,,,,,,,,,,,
49,,136513055,Primary School,,,school,,,,,,,,,,,,,,,,,,,
50,,136513056,Primary School,,,school,,,,,,,,,,,,,,,,,,,
51,,136601967,Setidevi Primary School,,,school,,,,,,,,,,,,,,,,,,,
52,,152604549,Kumudini Hostel,,,school,,,,,,,,,,,,,,,,,,,
53,,152606166,Nursing College,,,college,,,,,,,,,,,,,,,,,,,
54,,152606167,Amarsingh HSS,,,school,,,,,,,,,,,,,,,,,,,
55,,152607030,Bhaskar School,,,school,,,,,,,,,,,,,,,,,,,
56,,153036180,Jan Jivan Ma Vi,,,school,,,,,,,,,,,,,,,,,,,
57,,163260466,Everest School,,,school,,,,,,,,,,,,,,,,,,,"""wheelchair""=>""limited"", ""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""813"", ""building_count""=>""7"", ""personnel:count""=>""75"""
58,,163689798,Madan Smarak Higher Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""government"", ""student:count""=>""500"", ""building_count""=>""6"", ""personnel:count""=>""42"""
59,,168839124,Glacier International Higher Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""phone""=>""4107803"", ""isced:level""=>""higher_secondary"", ""operator:type""=>""private"", ""student:count""=>""550"", ""building_count""=>""2"", ""personnel:count""=>""60"""
60,,169078006,Jaljala Shishu Sadan Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""400"", ""building_count""=>""1"", ""personnel:count""=>""32"""
61,,169429526,Nava Adarsha Secondary School,,,school,,,,school,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Nava Adarsha Secondary School"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""before_1960"", ""isced:level""=>""secondary"", ""occupant:day""=>""310"", ""operator:type""=>""government"", ""roof:material""=>"
62,,170015111,,,,university,,,,,,,,,,,,,,,,,,,
63,,170430563,DAV College,,,college,,,,,,,,,,,,,,,,,,,
64,,170430565,DAV Sushil Kedia Vishwa Bharati School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""3000"", ""building_count""=>""3"", ""personnel:count""=>""300"""
100,,178915316,Manjushree English Medium High School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""200"", ""building_count""=>""3"", ""personnel:count""=>""18"""
65,,171382518,Adarsha Janapremi Higher Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""college"", ""operator:type""=>""private"", ""student:count""=>""1000"", ""building_count""=>""2"", ""personnel:count""=>""150"""
66,,171495941,SOS Herman Gmeienr School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""higher_secondary"", ""operator:type""=>""community"", ""student:count""=>""850"", ""building_count""=>""21"", ""personnel:count""=>""65"""
67,,172099678,LMTC training block,,,school,,,,,,,,,,,,,,,,,,,
68,,172106984,Pharmacy block,,,college,,,,school,,,,,,,,,,,,,,,"""operator""=>""Kathmandu University"", ""addr:housenumber""=>""Pharmacy Block"""
69,,172107221,Civil and Geomatics Engineering,,,college,,,,school,,,,,,,,,,,,,,,"""operator""=>""Kathmandu University"", ""addr:housenumber""=>""Yamaji Block"""
70,,172477725,Aazad School,,,school,,,,,,,,,,,,,,,,,,,
71,,172477733,Baylor Academy,,,school,,,,,,,,,,,,,,,,,,,
72,,172477735,Bhakteshor School,,,school,,,,,,,,,,,,,,,,,,,
73,,172477786,Kavre Campus,,,college,,,,,,,,,,,,,,,,,,,
74,,172477830,SOS Herman Village School,,,school,,,,,,,,,,,,,grass,,,,,,
75,,172774282,Shree Bhaisnavi Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""government"", ""student:count""=>""200"", ""building_count""=>""2"", ""personnel:count""=>""17"""
76,,172953244,Cosmic International Academy,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""850"", ""building_count""=>""4"", ""personnel:count""=>""70"""
77,,172954057,SOS koteshwor,,,school,,,,,,,,,,,,,,,,,,,
78,,175444703,Shree Chanda Devi Primary and Secondary School,,,school,,,,,,,,,,,,,,,,,,,
79,,175444704,,,,school,,,,yes,,,,,,,,,,,,,,,
80,,176426598,Ram Janaki Primary School,,,school,,,,,,,,,,,,,,,,,,,
81,,176427532,Shree Shakti Primary and High Secondary School,,,school,,,,,,,,,,,,,,,,,,,
82,,176926682,Yeti Health Science Academy,,,college,,,,,,,,,,,,,,,,,,,"""isced:level""=>""college"", ""operator:type""=>""private"", ""student:count""=>""380"", ""building_count""=>""2"", ""personnel:count""=>""40"""
101,,178915320,Shree Sanchetana Primary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""primary"", ""operator:type""=>""government"", ""student:count""=>""115"", ""building_count""=>""1"", ""personnel:count""=>""10"""
83,,177098888,Kasthamandap Vidhayalaya,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""400"", ""building_count""=>""5"", ""personnel:count""=>""100"""
84,,177098890,NIBS School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""300"", ""building_count""=>""3"", ""personnel:count""=>""30"""
85,,177582762,Ideal Model School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""1100"", ""building_count""=>""2"", ""personnel:count""=>""105"""
86,,177616021,Laboratory Higher SecondarySchool,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""higher_secondary"", ""operator:type""=>""community"", ""student:count""=>""1100"", ""building_count""=>""12"", ""personnel:count""=>""82"""
87,,177618128,Indian Modern High School,,,school,,,,yes,,,,,,,,,,,,,,,
88,,177618132,Pushpa Sadan Boarding School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""1200"", ""building_count""=>""2"", ""personnel:count""=>""82"""
89,,177789379,Malpi International College,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""college"", ""operator:type""=>""private"", ""student:count""=>""100"", ""building_count""=>""3"", ""personnel:count""=>""30"""
90,,177949335,Future Star School,,,school,,,,,,,,,,,,,,,,,,,
91,,178414856,Camad College,,,college,,,,,,,,,,,,,,,,,,,"""phone""=>""4650643"", ""isced:level""=>""college"", ""operator:type""=>""private"", ""student:count""=>""250"", ""building_count""=>""4"", ""personnel:count""=>""15"""
92,,178606435,,,,school,,,,yes,,,,,,,,,,,,,,,
93,,178772718,Lumbini Beginner's Academy,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""230"", ""building_count""=>""3"", ""personnel:count""=>""18"""
94,,178772719,Paradise Montessori,,,kindergarten,,,,,,,,,,,,,,,,,,,"""isced:level""=>""kindergarten"", ""operator:type""=>""private"", ""student:count""=>""27"", ""building_count""=>""1"", ""personnel:count""=>""7"""
95,,178772801,Edmund English School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""primary"", ""operator:type""=>""private"", ""student:count""=>""50"", ""building_count""=>""1"", ""personnel:count""=>""10"""
96,,178782986,Rhododendron International Higher Secondary Boarding School,,,school,,,,,,,,,,,,,,,,,,,"""alt_name""=>""RIBS"", ""isced:level""=>""higher_secondary"", ""operator:type""=>""private"", ""student:count""=>""600"", ""building_count""=>""2"", ""personnel:count""=>""50"""
97,,178791628,Prabhat Higher Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""government"", ""student:count""=>""500"", ""building_count""=>""3"", ""personnel:count""=>""27"""
98,,178914637,Malpi Primary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""primary"", ""operator:type""=>""private"", ""student:count""=>""210"", ""building_count""=>""3"", ""personnel:count""=>""52"""
99,,178915271,Herald International School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""250"", ""building_count""=>""2"", ""personnel:count""=>""24"""
2756,,338444296,Ni Ma Vi Kamalpur,,,school,,,,,,,,,,,,,,,,,,,
102,,178915839,Bhaktapur NIST School,,,school,,,,,,,,,,,,,,,,,,,"""alt_name""=>""Millenium International Academy & Nist Bhaktapur"", ""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""425"", ""building_count""=>""2"", ""personnel:count""=>""42"""
103,,178915842,Om Gyan Mandir School,,,school,,,,,,,,,,,,,,,,,,,"""operator""=>""Om Gyan Mandir HSS"", ""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""535"", ""building_count""=>""5"", ""personnel:count""=>""45"""
104,,178915843,Acer International College,,,college,,,,college,,,,,,,,,,,,,,,"""operator""=>""Acer International College"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""narrow_long"", ""start_date""=>""2000-2013"", ""column:size""=>""12x12"", ""isced:level""=>""college"", ""occupant:day""=>""39"", ""operator:type""=>""private"", ""roof:material""="
105,,178966697,Little Stars Academy,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""353"", ""building_count""=>""3"", ""personnel:count""=>""24"""
106,,179078560,Hindu Vidyapeeth - Nepal,,,school,,,,,,,,,,,,,,,,,,,"""phone""=>""01-5006125"", ""isced:level""=>""secondary"", ""operator:type""=>""community"", ""student:count""=>""500"", ""building_count""=>""2"", ""personnel:count""=>""35"""
